week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,refusal_rate,admission_rate,wait_pressure,predicted_demand,estimated_refusal_reduction
38,10,surgery,51.7,48,47,1,62,81,none,0.020833333333333332,0.9791666666666666,1,52.70000000000004,-4.700000000000038
38,10,general_medicine,69.30000000000001,78,63,15,78,70,none,0.19230769230769232,0.8076923076923077,15,84.30000000000004,-6.30000000000004
38,10,ICU,22.0,18,18,0,81,70,none,0.0,1.0,-2,20.00000000000004,-2.000000000000039
39,10,emergency,22.0,67,20,47,85,95,none,0.7014925373134329,0.29850746268656714,47,68.99999999999997,-1.9999999999999716
39,10,surgery,39.6,49,36,13,86,58,none,0.2653061224489796,0.7346938775510204,13,52.60000000000002,-3.6000000000000227
39,10,general_medicine,52.800000000000004,59,48,11,89,72,strike,0.1864406779661017,0.8135593220338984,11,63.800000000000026,-4.800000000000026
39,10,ICU,12.100000000000001,15,11,4,95,50,none,0.26666666666666666,0.7333333333333333,4,16.100000000000033,-1.1000000000000334
40,10,emergency,19.8,57,18,39,81,43,strike,0.6842105263157895,0.3157894736842105,39,58.8,-1.7999999999999972
40,10,surgery,50.6,36,36,0,83,51,none,0.0,1.0,-10,40.60000000000006,-4.600000000000058
40,10,general_medicine,51.7,107,47,60,66,52,none,0.5607476635514018,0.4392523364485981,60,111.69999999999997,-4.699999999999974
40,10,ICU,13.200000000000001,15,12,3,97,84,none,0.2,0.8,3,16.200000000000028,-1.2000000000000277
41,11,emergency,29.700000000000003,92,27,65,69,88,none,0.7065217391304348,0.29347826086956524,65,94.69999999999996,-2.69999999999996
41,11,surgery,34.1,49,31,18,85,93,none,0.3673469387755102,0.6326530612244898,18,52.10000000000001,-3.1000000000000085
41,11,general_medicine,55.00000000000001,70,50,20,84,53,none,0.2857142857142857,0.7142857142857143,20,75.00000000000003,-5.000000000000028
41,11,ICU,23.1,20,20,0,77,96,none,0.0,1.0,-1,22.100000000000026,-2.1000000000000263
42,11,emergency,26.400000000000002,99,24,75,67,89,none,0.7575757575757576,0.24242424242424243,75,101.39999999999995,-2.399999999999949
42,11,surgery,49.50000000000001,67,45,22,65,75,none,0.3283582089552239,0.6716417910447762,22,71.50000000000001,-4.500000000000014
42,11,general_medicine,73.7,114,67,47,65,86,none,0.41228070175438597,0.5877192982456141,47,120.69999999999999,-6.699999999999989
42,11,ICU,17.6,12,12,0,80,55,none,0.0,1.0,-4,13.60000000000004,-1.6000000000000405
43,11,emergency,23.1,171,21,150,70,79,none,0.8771929824561403,0.12280701754385964,150,173.09999999999988,-2.0999999999998806
43,11,surgery,55.00000000000001,33,33,0,62,89,donation,0.0,1.0,-17,38.000000000000064,-5.000000000000064
43,11,general_medicine,46.2,49,42,7,79,77,none,0.14285714285714285,0.8571428571428571,7,53.20000000000003,-4.200000000000031
43,11,ICU,19.8,12,12,0,89,87,none,0.0,1.0,-6,13.800000000000036,-1.8000000000000362
44,11,emergency,29.700000000000003,138,27,111,74,60,none,0.8043478260869565,0.1956521739130435,111,140.6999999999999,-2.6999999999999034
44,11,surgery,49.50000000000001,28,28,0,65,75,none,0.0,1.0,-17,32.500000000000064,-4.500000000000064
44,11,general_medicine,62.7,70,57,13,92,69,none,0.18571428571428572,0.8142857142857143,13,75.70000000000003,-5.700000000000031
44,11,ICU,13.200000000000001,16,12,4,73,87,none,0.25,0.75,4,17.200000000000024,-1.2000000000000242
45,12,emergency,35.2,193,32,161,72,92,none,0.8341968911917098,0.16580310880829016,161,196.19999999999985,-3.1999999999998465
45,12,surgery,35.2,37,32,5,64,72,none,0.13513513513513514,0.8648648648648649,5,40.20000000000003,-3.2000000000000313
45,12,general_medicine,44.0,67,40,27,99,51,none,0.40298507462686567,0.5970149253731343,27,71.00000000000001,-4.000000000000014
45,12,ICU,19.8,42,18,24,70,54,flu,0.5714285714285714,0.42857142857142855,24,43.80000000000001,-1.8000000000000114
46,12,emergency,39.6,187,36,151,64,93,none,0.8074866310160428,0.1925133689839572,151,190.59999999999985,-3.599999999999852
46,12,surgery,57.2,39,39,0,68,83,none,0.0,1.0,-13,44.20000000000005,-5.200000000000053
46,12,general_medicine,45.1,29,29,0,81,58,strike,0.0,1.0,-12,33.10000000000006,-4.100000000000058
46,12,ICU,25.3,28,23,5,89,75,flu,0.17857142857142858,0.8214285714285714,5,30.300000000000026,-2.3000000000000256
47,12,emergency,24.200000000000003,91,22,69,63,54,strike,0.7582417582417582,0.24175824175824176,69,93.19999999999996,-2.19999999999996
47,12,surgery,62.7,48,48,0,99,57,none,0.0,1.0,-9,53.70000000000005,-5.700000000000053
47,12,general_medicine,60.50000000000001,92,55,37,97,82,none,0.40217391304347827,0.5978260869565217,37,97.5,-5.5
47,12,ICU,14.3,16,13,3,76,82,none,0.1875,0.8125,3,17.300000000000026,-1.3000000000000256
48,12,emergency,22.0,165,20,145,99,89,none,0.8787878787878788,0.12121212121212122,145,166.99999999999986,-1.999999999999858
48,12,surgery,53.900000000000006,32,32,0,65,52,none,0.0,1.0,-17,36.90000000000007,-4.90000000000007
48,12,general_medicine,52.800000000000004,105,48,57,74,96,none,0.5428571428571428,0.45714285714285713,57,109.79999999999998,-4.799999999999983
48,12,ICU,17.6,23,16,7,98,76,none,0.30434782608695654,0.6956521739130435,7,24.600000000000023,-1.6000000000000227
49,12,emergency,28.6,137,26,111,92,86,none,0.8102189781021898,0.1897810218978102,111,139.5999999999999,-2.599999999999909
49,12,surgery,28.6,29,26,3,81,51,none,0.10344827586206896,0.896551724137931,3,31.600000000000037,-2.600000000000037
49,12,general_medicine,79.2,63,63,0,92,87,none,0.0,1.0,-9,70.20000000000006,-7.20000000000006
49,12,ICU,17.6,22,16,6,83,64,none,0.2727272727272727,0.7272727272727273,6,23.600000000000026,-1.6000000000000263
50,12,emergency,26.400000000000002,101,24,77,63,61,none,0.7623762376237624,0.2376237623762376,77,103.39999999999995,-2.399999999999949
50,12,surgery,64.9,65,59,6,95,85,none,0.09230769230769231,0.9076923076923077,6,70.90000000000005,-5.900000000000048
50,12,general_medicine,79.2,57,57,0,79,60,none,0.0,1.0,-15,64.20000000000006,-7.20000000000006
50,12,ICU,24.200000000000003,13,13,0,65,57,none,0.0,1.0,-9,15.200000000000049,-2.200000000000049
51,12,emergency,34.1,123,31,92,71,75,none,0.7479674796747967,0.25203252032520324,92,126.09999999999994,-3.0999999999999375
51,12,surgery,69.30000000000001,48,48,0,84,82,none,0.0,1.0,-15,54.30000000000007,-6.300000000000068
51,12,general_medicine,81.4,285,74,211,95,89,flu,0.7403508771929824,0.2596491228070175,211,292.3999999999998,-7.399999999999807
51,12,ICU,19.8,15,15,0,87,80,none,0.0,1.0,-3,16.800000000000033,-1.8000000000000327
52,12,emergency,28.6,130,26,104,88,63,none,0.8,0.2,104,132.5999999999999,-2.599999999999909
52,12,surgery,58.300000000000004,39,39,0,82,50,none,0.0,1.0,-14,44.30000000000006,-5.300000000000061
52,12,general_medicine,71.5,225,65,160,82,40,flu,0.7111111111111111,0.28888888888888886,160,231.49999999999986,-6.499999999999858
52,12,ICU,24.200000000000003,24,22,2,80,96,none,0.08333333333333333,0.9166666666666666,2,26.200000000000028,-2.2000000000000277
