movie_id,movie_name,genre,release_date,rating,box_office,imdb_rating,budget,multigenre,multilanguage,multicompany,multicountry,Country,Year,runtime,Nominations,Wins
9102,Screamers,"Horror, Science Fiction",1995-09-08,6.1,,,20000000.0,yes,no,yes,yes,,,,,
400,Things to Do in Denver When You're Dead,"Drama, Crime",1995-12-01,6.7,,,8000000.0,yes,no,no,no,,,,,
10534,White Squall,"Action, Drama",1996-02-02,6.3,,,38000000.0,yes,yes,yes,no,,,,,
2086,Nick of Time,"Crime, Drama, Thriller",1995-11-22,6.1,,,8169363.0,yes,no,no,no,,,,,
9095,Mary Reilly,"Drama, Horror, Thriller, Romance",1996-02-23,5.7,,,47000000.0,yes,no,yes,no,,,,,
12158,Vampire in Brooklyn,"Comedy, Horror, Romance",1995-10-26,4.5,,,14000000.0,yes,no,no,no,,,,,
9208,Broken Arrow,"Action, Adventure, Drama, Thriller",1996-02-09,5.7,,,50000000.0,yes,no,yes,no,,,,,
13685,Bottle Rocket,"Comedy, Crime, Drama",1996-02-21,6.8,,,7000000.0,yes,yes,yes,no,,,,,
9614,Happy Gilmore,Comedy,1996-02-16,6.5,38824225.0,,12000000.0,no,no,yes,no,,,,,
688,The Bridges of Madison County,"Drama, Romance",1995-05-28,7.3,,,24000000.0,yes,no,yes,no,,,,,
197,Braveheart,"Action, Drama, History, War",1995-05-24,7.7,75610409.0,,72000000.0,yes,yes,yes,no,,,,,
103,Taxi Driver,"Crime, Drama",1976-02-07,8.1,,,1300000.0,yes,yes,yes,no,,,,,
78406,Steal Big Steal Little,"Comedy, Drama",1995-09-29,5.1,,,25000000.0,yes,no,no,no,,,,,
11066,Boomerang,"Comedy, Romance",1992-06-30,5.4,,,40000000.0,yes,yes,no,no,,,,,
2074,Flirting with Disaster,"Comedy, Romance",1996-03-22,6.3,,,7000000.0,yes,no,no,no,,,,,
11863,Jade,"Action, Thriller, Mystery, Romance",1995-10-13,5.1,,,50000000.0,yes,no,no,no,,,,,
11000,The Birdcage,Comedy,1996-03-08,6.7,124061638.0,,31000000.0,no,yes,no,no,,,,,
9737,Bad Boys,"Action, Comedy, Crime, Thriller",1995-04-07,6.5,,,19000000.0,yes,no,yes,no,,,,,
22279,An Awfully Big Adventure,"Romance, Drama, Comedy",1995-07-21,6.0,,,4000000.0,yes,no,yes,no,,,,,
568,Apollo 13,Drama,1995-06-30,7.3,223837411.0,,52000000.0,no,no,yes,no,,,,,
11780,Rob Roy,Adventure,1995-04-13,6.5,,,28000000.0,no,no,yes,yes,,,,,
414,Batman Forever,"Action, Crime, Fantasy",1995-06-16,5.2,,,100000000.0,yes,no,yes,yes,,,,,
1775,Canadian Bacon,"Action, Comedy",1995-06-08,5.9,,,11000000.0,yes,no,no,yes,,,,,
8839,Casper,"Fantasy, Comedy, Family",1995-05-26,6.0,,,50000000.0,yes,no,yes,no,,,,,
20649,Clockers,"Mystery, Crime, Drama",1995-09-15,6.8,,,25000000.0,yes,no,yes,no,,,,,
10329,Congo,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",1995-06-09,5.0,,,50000000.0,yes,yes,yes,no,,,,,
8963,Crimson Tide,"Action, Thriller, Drama",1995-05-12,7.0,,,53000000.0,yes,no,yes,no,,,,,
8068,Desperado,"Thriller, Action, Crime",1995-08-25,6.8,,,7000000.0,yes,no,yes,no,,,,,
8512,Devil in a Blue Dress,"Drama, Mystery, Thriller",1995-09-15,6.3,,,27000000.0,yes,no,yes,no,,,,,
1572,Die Hard: With a Vengeance,"Action, Thriller",1995-05-19,6.9,,,90000000.0,yes,yes,yes,no,,,,,
6520,First Knight,"Action, Adventure, Drama, Romance",1995-07-07,5.9,,,55000000.0,yes,yes,yes,no,,,,,
10428,Hackers,"Action, Crime, Thriller, Drama",1995-09-14,6.2,,,20000000.0,yes,yes,yes,no,,,,,
9886,Johnny Mnemonic,"Adventure, Action, Drama, Science Fiction, Thriller",1995-05-26,5.5,19077036.0,,25000000.0,yes,yes,yes,yes,,,,,
9482,Judge Dredd,Science Fiction,1995-06-30,5.4,,,90000000.0,no,no,yes,no,,,,,
9344,Kids,"Drama, Crime",1995-07-28,6.8,,,1500000.0,yes,no,no,no,,,,,
2293,Mallrats,"Romance, Comedy",1995-10-20,6.8,,,6000000.0,yes,no,yes,no,,,,,
9070,Mighty Morphin Power Rangers: The Movie,"Action, Adventure, Science Fiction, Family, Fantasy",1995-06-30,5.2,,,15000000.0,yes,no,yes,yes,,,,,
1642,The Net,"Crime, Drama, Mystery, Thriller, Action",1995-07-28,5.6,,,22000000.0,yes,yes,no,no,,,,,
36196,Party Girl,Comedy,1995-06-09,5.8,,,150000.0,no,no,no,no,,,,,
10533,The Scarlet Letter,"Drama, History, Romance",1995-10-13,5.5,,,50000000.0,yes,no,yes,no,,,,,
10802,Showgirls,Drama,1995-09-22,4.9,20353357.0,,45000000.0,no,no,yes,yes,,,,,
10149,Smoke,"Comedy, Drama",1995-06-09,7.2,,,7000000.0,yes,no,no,yes,,,,,
9348,Species,"Science Fiction, Horror, Action",1995-07-07,5.5,,,35000000.0,yes,no,no,no,,,,,
281,Strange Days,"Crime, Drama, Science Fiction, Thriller",1995-10-13,6.8,,,42000000.0,yes,no,no,no,,,,,
3512,Under Siege 2: Dark Territory,"Action, Thriller",1995-07-13,5.6,,,60000000.0,yes,no,yes,no,,,,,
9560,A Walk in the Clouds,"Drama, Romance",1995-08-11,6.5,,,20000000.0,yes,no,yes,no,,,,,
9804,Waterworld,"Adventure, Action",1995-07-28,5.9,88246905.0,,175000000.0,yes,yes,yes,no,,,,,
76,Before Sunrise,"Drama, Romance",1995-01-27,7.7,6112476.0,,2500000.0,yes,yes,yes,yes,,,,,
9382,Boys on the Side,"Comedy, Drama",1995-02-03,6.3,,,21000000.0,yes,no,yes,yes,,,,,
1909,Don Juan DeMarco,"Romance, Drama, Comedy",1994-10-01,6.3,,,25000000.0,yes,no,yes,no,,,,,
8984,Disclosure,"Drama, Thriller, Crime, Mystery, Romance",1994-12-09,5.9,,,55000000.0,yes,no,yes,no,,,,,
8467,Dumb and Dumber,Comedy,1994-12-16,6.5,127176610.0,,16000000.0,no,no,yes,no,,,,,
522,Ed Wood,"Comedy, Drama, History",1994-09-27,7.3,5887777.0,,18000000.0,yes,no,no,no,,,,,
27303,Hideaway,"Drama, Thriller",1995-03-03,5.0,,,15000000.0,yes,no,no,no,,,,,
14275,Hoop Dreams,Documentary,1994-09-12,7.7,,,700000.0,no,no,yes,no,,,,,
1024,Heavenly Creatures,"Drama, Fantasy",1994-09-02,6.9,3049950.0,,5000000.0,yes,no,yes,no,,,,,
628,Interview with the Vampire,"Horror, Romance",1994-11-11,7.2,105301104.0,,60000000.0,yes,yes,no,no,,,,,
87729,Jefferson in Paris,"Drama, Romance",1995-03-31,5.2,,,14000000.0,yes,no,yes,no,,,,,
6280,Junior,"Comedy, Family, Romance",1994-11-22,4.7,,,60000000.0,yes,no,yes,no,,,,,
11,Star Wars,"Adventure, Action, Science Fiction",1977-05-25,8.1,,,11000000.0,yes,no,yes,no,,,,,
4476,Legends of the Fall,"Adventure, Drama, Romance, War",1994-12-16,7.2,,,30000000.0,yes,yes,yes,no,,,,,
28313,Losing Isaiah,Drama,1995-03-17,6.4,,,17000000.0,no,no,no,no,,,,,
1945,Nell,"Drama, Thriller",1994-12-23,6.1,,,31000000.0,yes,no,yes,no,,,,,
241,Natural Born Killers,"Crime, Thriller, Drama",1994-08-25,6.9,50284761.0,,34000000.0,yes,yes,yes,no,,,,,
6950,Outbreak,"Action, Drama, Science Fiction, Thriller",1995-03-10,6.4,67659585.0,,50000000.0,yes,yes,yes,no,,,,,
63020,The Perez Family,"Comedy, Drama, Romance",1995-05-12,6.6,,,11000000.0,yes,no,no,no,,,,,
680,Pulp Fiction,"Thriller, Crime",1994-09-10,8.3,108052451.0,,8000000.0,yes,yes,yes,no,,,,,
25296,Pushing Hands,"Comedy, Drama",1992-02-01,6.1,,,400000.0,yes,yes,no,no,,,,,
12106,The Quick and the Dead,"Action, Western",1995-02-09,6.2,,,32000000.0,yes,no,no,yes,,,,,
161495,Roommates,"Drama, Comedy",1995-03-01,6.4,,,22000000.0,yes,no,yes,no,,,,,
2636,The Specialist,"Action, Thriller",1994-10-07,5.5,,,45000000.0,yes,no,yes,yes,,,,,
2164,Stargate,"Action, Adventure, Science Fiction",1994-10-27,6.8,71568987.0,,55000000.0,yes,yes,yes,yes,,,,,
11395,The Santa Clause,"Fantasy, Drama, Comedy, Family",1994-11-10,6.3,144833964.0,,22000000.0,yes,no,yes,no,,,,,
278,The Shawshank Redemption,"Drama, Crime",1994-09-23,8.5,28704136.0,,25000000.0,yes,no,yes,no,,,,,
9067,Tank Girl,"Action, Comedy, Fantasy, Science Fiction",1995-03-31,5.5,,,25000000.0,yes,no,no,no,,,,,
193,Star Trek: Generations,"Science Fiction, Action, Adventure, Thriller",1994-11-17,6.4,,,38000000.0,yes,no,no,no,,,,,
25066,Tales from the Hood,"Crime, Horror, Thriller",1995-05-24,5.4,,,6000000.0,yes,no,yes,no,,,,,
1587,What's Eating Gilbert Grape,"Romance, Drama",1993-12-17,7.5,,,11000000.0,yes,no,no,no,,,,,
9271,Virtuosity,"Action, Crime, Science Fiction, Thriller",1995-08-04,5.4,,,30000000.0,yes,no,no,no,,,,,
2064,While You Were Sleeping,"Comedy, Drama, Romance",1995-04-21,6.5,,,17000000.0,yes,no,yes,no,,,,,
236,Muriel's Wedding,"Drama, Comedy, Romance",1994-09-29,6.9,15482277.0,,3000000.0,yes,no,yes,yes,,,,,
10497,Bitter Moon,"Thriller, Drama, Romance",1992-09-02,7.0,,,5000000.0,yes,yes,yes,yes,,,,,
9331,Clear and Present Danger,"Action, Drama, Thriller",1994-08-03,6.4,,,62000000.0,yes,no,yes,no,,,,,
10731,The Client,"Drama, Thriller, Crime, Mystery",1994-07-20,6.4,,,45000000.0,yes,no,yes,no,,,,,
9495,The Crow,"Fantasy, Action, Thriller",1994-05-11,7.3,50710791.0,,15000000.0,yes,no,yes,no,,,,,
888,The Flintstones,"Fantasy, Comedy, Family",1994-05-26,5.0,,,46000000.0,yes,no,yes,no,,,,,
13,Forrest Gump,"Comedy, Drama, Romance",1994-07-06,8.2,329696009.0,,55000000.0,yes,no,no,no,,,,,
712,Four Weddings and a Funeral,"Comedy, Drama, Romance",1994-03-09,6.6,,,6000000.0,yes,no,yes,no,,,,,
10879,I Love Trouble,"Action, Comedy, Romance",1994-06-29,5.3,,,45000000.0,yes,yes,yes,no,,,,,
1689,Little Buddha,"Drama, History",1993-12-01,6.0,4885392.0,,35000000.0,yes,no,no,yes,,,,,
11596,New Nightmare,"Horror, Thriller, Mystery, Fantasy",1994-10-13,6.4,19721741.0,,14000000.0,yes,no,no,no,,,,,
854,The Mask,"Romance, Comedy, Crime, Fantasy",1994-07-29,6.6,119954466.0,,23000000.0,yes,yes,yes,no,,,,,
2788,Reality Bites,Drama,1994-02-18,6.5,20982763.0,,11500000.0,no,no,yes,no,,,,,
10427,Red Rock West,"Crime, Drama, Thriller",1993-07-08,6.4,,,8000000.0,yes,no,yes,no,,,,,
1637,Speed,"Action, Adventure, Crime",1994-06-09,6.8,121249797.0,,30000000.0,yes,no,no,no,,,,,
8831,Timecop,"Thriller, Science Fiction, Action, Crime",1994-09-15,5.5,44853868.0,,27000000.0,yes,no,yes,yes,,,,,
36955,True Lies,"Action, Thriller",1994-07-14,6.8,146283171.0,,115000000.0,yes,yes,yes,no,,,,,
26352,A Low Down Dirty Shame,"Action, Comedy, Crime",1994-11-23,6.0,,,10000000.0,yes,no,yes,no,,,,,
11667,Street Fighter,"Action, Adventure, Thriller",1994-12-22,4.1,99431786.0,,35000000.0,yes,yes,yes,yes,,,,,
2654,In the Mouth of Madness,"Horror, Mystery, Thriller",1994-12-12,7.1,8926413.0,,8000000.0,yes,no,no,no,,,,,
10436,The Age of Innocence,"Drama, Romance",1993-09-17,7.0,,,34000000.0,yes,yes,no,no,,,,,
46094,The Air Up There,"Comedy, Family",1994-01-07,5.1,,,17080000.0,yes,no,yes,no,,,,,
306,Beverly Hills Cop III,"Action, Comedy, Crime",1994-05-24,5.5,,,50000000.0,yes,no,yes,no,,,,,
1607,A Bronx Tale,"Drama, Crime",1993-09-14,7.4,,,22000000.0,yes,yes,yes,no,,,,,
6075,Carlito's Way,"Action, Crime, Drama, Thriller",1993-11-10,7.7,,,30000000.0,yes,yes,yes,no,,,,,
9350,Cliffhanger,"Action, Adventure, Thriller",1993-05-28,6.1,,,70000000.0,yes,no,yes,yes,,,,,
2124,Color of Night,"Drama, Mystery, Romance, Thriller",1994-08-19,5.4,,,40000000.0,yes,yes,yes,no,,,,,
9571,Dazed and Confused,"Comedy, Drama",1993-09-24,7.4,8145333.0,,6900000.0,yes,no,yes,no,,,,,
9739,Demolition Man,"Crime, Action, Science Fiction",1993-10-08,6.4,,,57000000.0,yes,no,yes,no,,,,,
9024,For Love or Money,"Comedy, Romance",1993-10-01,5.7,,,30000000.0,yes,no,yes,no,,,,,
37233,The Firm,"Drama, Mystery, Thriller",1993-06-30,6.6,,,42000000.0,yes,no,yes,no,,,,,
1634,Free Willy,"Family, Adventure",1993-07-16,6.0,,,20000000.0,yes,no,yes,yes,,,,,
5503,The Fugitive,"Adventure, Action, Thriller, Crime, Mystery",1993-08-06,7.2,183875799.0,,44000000.0,yes,no,no,no,,,,,
35588,Geronimo: An American Legend,"History, Action, Drama, Western",1993-12-10,5.9,,,35000000.0,yes,yes,no,no,,,,,
2019,Hard Target,"Action, Adventure, Crime, Thriller",1993-08-20,6.1,,,18000000.0,yes,no,yes,no,,,,,
9386,In the Line of Fire,"Action, Drama, Thriller, Crime, Mystery",1993-07-08,6.8,,,40000000.0,yes,no,yes,no,,,,,
7984,In the Name of the Father,Drama,1993-12-12,7.6,,,13000000.0,no,no,yes,yes,,,,,
329,Jurassic Park,"Adventure, Science Fiction",1993-06-11,7.6,978167947.0,,63000000.0,yes,yes,yes,no,,,,,
10909,Kalifornia,"Thriller, Crime",1993-09-01,6.5,,,9000000.0,yes,no,yes,no,,,,,
507,Killing Zoe,"Action, Crime, Drama, Thriller",1993-10-01,6.1,,,1500000.0,yes,yes,no,yes,,,,,
9593,Last Action Hero,"Adventure, Fantasy, Action, Comedy, Family",1993-06-18,6.1,,,85000000.0,yes,no,yes,no,,,,,
10440,Manhattan Murder Mystery,"Comedy, Mystery",1993-08-18,7.1,,,13500000.0,yes,no,no,no,,,,,
9516,Menace II Society,"Drama, Action, Crime",1993-05-26,7.2,,,3500000.0,yes,no,no,no,,,,,
2320,Executive Decision,"Action, Adventure, Drama, Thriller",1996-03-15,5.8,,,55000000.0,yes,no,yes,no,,,,,
788,Mrs. Doubtfire,"Comedy, Drama, Family",1993-11-24,7.0,219196147.0,,25000000.0,yes,no,yes,no,,,,,
11231,The Next Karate Kid,Adventure,1994-07-18,4.8,15876353.0,,12000000.0,no,no,no,no,,,,,
10447,No Escape,"Action, Drama, Science Fiction, Thriller",1994-04-29,6.1,54418872.0,,20000000.0,yes,no,yes,no,,,,,
9559,A Perfect World,"Crime, Drama, Thriller",1993-11-24,7.2,,,30000000.0,yes,no,yes,no,,,,,
9800,Philadelphia,Drama,1993-12-22,7.6,,,26000000.0,no,no,yes,no,,,,,
713,The Piano,"Drama, Romance",1993-05-19,7.1,,,7000000.0,yes,yes,yes,yes,,,,,
8291,Poetic Justice,"Drama, Romance",1993-07-23,6.9,,,14000000.0,yes,yes,no,no,,,,,
10872,The Ref,Comedy,1994-03-09,6.7,,,11000000.0,no,no,yes,no,,,,,
1245,The Remains of the Day,"Drama, Romance",1993-11-05,7.5,23240144.0,,11500000.0,yes,no,yes,yes,,,,,
11858,Renaissance Man,"Comedy, War",1994-06-03,5.9,,,40000000.0,yes,yes,yes,yes,,,,,
5550,RoboCop 3,"Action, Adventure, Crime, Science Fiction, Thriller",1993-04-17,4.2,,,22000000.0,yes,yes,no,no,,,,,
8005,Robin Hood: Men in Tights,Comedy,1993-07-28,6.4,,,20000000.0,no,no,yes,yes,,,,,
2088,Romeo Is Bleeding,"Action, Crime, Drama, Thriller",1993-09-13,5.7,,,11500000.0,yes,no,yes,yes,,,,,
47889,Ruby in Paradise,"Drama, Romance",1993-10-08,5.6,,,800000.0,yes,no,yes,no,,,,,
14534,Rudy,Drama,1993-09-17,7.2,,,12000000.0,no,yes,no,no,,,,,
11592,Serial Mom,"Comedy, Crime, Horror, Thriller",1994-04-13,6.4,7823437.0,,13000000.0,yes,no,yes,no,,,,,
8850,The Shadow,"Adventure, Fantasy, Action, Thriller, Science Fiction",1994-07-01,5.4,,,25000000.0,yes,no,no,no,,,,,
858,Sleepless in Seattle,"Comedy, Drama, Romance",1993-06-24,6.5,,,21000000.0,yes,no,no,no,,,,,
867,Sliver,"Drama, Thriller",1993-05-21,4.9,,,40000000.0,yes,no,yes,no,,,,,
78,Blade Runner,"Science Fiction, Drama, Thriller",1982-06-25,7.9,27601667.0,,28000000.0,yes,yes,yes,yes,,,,,
10442,So I Married an Axe Murderer,"Comedy, Crime, Romance",1993-07-30,6.1,,,20000000.0,yes,yes,no,no,,,,,
9607,Super Mario Bros.,"Adventure, Comedy, Family, Fantasy",1993-05-28,4.0,20916005.0,,48000000.0,yes,no,yes,yes,,,,,
17585,Surviving the Game,"Action, Adventure, Thriller, Crime",1994-04-15,6.1,,,7400000.0,yes,no,no,no,,,,,
9057,Terminal Velocity,"Action, Thriller",1994-09-23,5.0,,,50000000.0,yes,no,yes,no,,,,,
10057,The Three Musketeers,"Action, Adventure, Comedy",1993-11-11,6.2,132274484.0,,30000000.0,yes,no,yes,yes,,,,,
11969,Tombstone,"Action, Adventure, Drama, History, Western",1993-12-25,7.4,,,25000000.0,yes,yes,yes,no,,,,,
319,True Romance,"Action, Thriller, Crime, Romance",1993-09-09,7.5,13088778.0,,12500000.0,yes,yes,yes,no,,,,,
771,Home Alone,"Comedy, Family",1990-11-09,7.1,289012363.0,,18000000.0,yes,no,yes,no,,,,,
251,Ghost,"Fantasy, Drama, Thriller, Mystery, Romance",1990-07-12,6.9,217631670.0,,22000000.0,yes,no,no,no,,,,,
812,Aladdin,"Animation, Family, Comedy, Adventure, Fantasy, Romance",1992-11-25,7.4,1050693953.0,,28000000.0,yes,no,no,no,,,,,
280,Terminator 2: Judgment Day,"Action, Thriller, Science Fiction",1991-07-01,7.7,205074908.0,,100000000.0,yes,yes,yes,yes,,,,,
268,Batman,"Fantasy, Action",1989-06-23,7.0,401188924.0,,35000000.0,yes,yes,yes,yes,,,,,
274,The Silence of the Lambs,"Crime, Drama, Thriller",1991-02-01,8.1,130746887.0,,19000000.0,yes,no,yes,no,,,,,
114,Pretty Woman,"Romance, Comedy",1990-03-23,7.0,178464491.0,,14000000.0,yes,yes,yes,no,,,,,
576,The Wild Bunch,"Adventure, Western",1969-06-17,7.7,,,6244087.0,yes,yes,no,no,,,,,
275,Fargo,"Crime, Drama, Thriller",1996-04-05,7.7,24613816.0,,7000000.0,yes,no,yes,no,,,,,
1592,Primal Fear,"Crime, Drama, Mystery, Thriller",1996-04-03,7.4,,,30000000.0,yes,yes,no,no,,,,,
61752,Girl 6,Comedy,1996-03-22,5.7,,,12000000.0,no,no,yes,no,,,,,
10684,Courage Under Fire,"Drama, Thriller, Mystery, War",1996-07-04,6.2,,,46000000.0,yes,no,yes,no,,,,,
954,Mission: Impossible,"Adventure, Action, Thriller",1996-05-22,6.7,,,80000000.0,yes,yes,yes,no,,,,,
8840,DragonHeart,Fantasy,1996-05-31,6.4,,,57000000.0,no,no,no,no,,,,,
8069,Barbarella,Science Fiction,1968-10-10,5.7,,,9000000.0,no,no,yes,no,,,,,
40001,Mrs. Winterbourne,"Comedy, Romance, Drama",1996-04-19,5.5,,,25000000.0,yes,no,no,no,,,,,
9103,The Quest,"Action, Adventure",1996-04-19,5.3,,,30000000.0,yes,no,yes,yes,,,,,
36355,Flipper,"Adventure, Family",1996-05-17,5.3,,,25530000.0,yes,no,yes,no,,,,,
9100,The Craft,"Drama, Fantasy, Horror, Thriller",1996-05-03,6.3,24823851.0,,15000000.0,yes,no,no,no,,,,,
40507,Original Gangstas,"Action, Drama, Crime, Thriller",1996-05-10,5.5,,,4800000.0,yes,yes,no,no,,,,,
9802,The Rock,"Action, Adventure, Thriller",1996-06-06,6.9,,,75000000.0,yes,no,yes,no,,,,,
664,Twister,"Action, Adventure, Drama",1996-05-10,6.1,,,92000000.0,yes,no,yes,no,,,,,
10547,The Arrival,"Action, Mystery, Science Fiction, Thriller",1996-05-31,6.1,,,25000000.0,yes,no,yes,yes,,,,,
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Drama, Comedy, War",1964-01-29,8.0,,,1800000.0,yes,no,yes,yes,,,,,
9826,The Phantom,"Adventure, Action",1996-06-06,4.7,,,45000000.0,yes,no,yes,yes,,,,,
9879,Striptease,"Drama, Thriller, Crime",1996-06-28,4.4,,,50000000.0,yes,no,yes,no,,,,,
7095,Jack,"Comedy, Drama, Science Fiction",1996-08-09,5.9,,,45000000.0,yes,no,yes,no,,,,,
627,Trainspotting,"Drama, Crime",1996-02-23,7.8,16493130.0,,4000000.0,yes,no,yes,no,,,,,
602,Independence Day,"Action, Adventure, Science Fiction",1996-06-25,6.7,306172558.0,,75000000.0,yes,no,yes,no,,,,,
9566,The Fan,"Drama, Mystery, Thriller",1996-08-15,5.7,,,55000000.0,yes,no,yes,no,,,,,
10545,The Hunchback of Notre Dame,"Drama, Animation, Family",1996-06-21,6.8,,,100000000.0,yes,yes,no,no,,,,,
9894,The Cable Guy,"Comedy, Drama, Thriller",1996-06-10,5.7,,,47000000.0,yes,no,no,no,,,,,
11543,Kingpin,Comedy,1996-07-04,6.7,,,27000000.0,no,no,yes,no,,,,,
9268,Eraser,"Action, Drama, Mystery, Thriller",1996-06-21,5.6,,,100000000.0,yes,no,yes,yes,,,,,
9327,The Nutty Professor,"Fantasy, Comedy, Romance, Science Fiction",1996-06-26,5.4,,,54000000.0,yes,no,yes,no,,,,,
11228,Daylight,"Action, Adventure, Thriller",1996-12-06,5.8,,,80000000.0,yes,no,yes,no,,,,,
10779,The Frighteners,"Horror, Comedy",1996-07-18,6.7,,,30000000.0,yes,no,yes,yes,,,,,
26748,Lone Star,"Drama, Mystery, Romance",1996-06-21,6.9,,,5000000.0,yes,yes,yes,no,,,,,
9294,Phenomenon,"Drama, Fantasy, Romance, Science Fiction",1996-07-05,6.2,,,32000000.0,yes,no,no,no,,,,,
11363,She's the One,"Comedy, Romance",1996-08-26,5.7,,,3500000.0,yes,yes,no,no,,,,,
1645,A Time to Kill,"Crime, Drama, Thriller",1996-07-24,7.0,,,40000000.0,yes,no,yes,no,,,,,
18550,Fled,"Action, Comedy, Thriller",1996-07-19,5.2,,,25000000.0,yes,no,no,no,,,,,
2925,The First Wives Club,Comedy,1996-09-20,6.5,,,26000000.0,no,no,no,no,,,,,
3595,Ransom,"Action, Thriller",1996-11-08,6.4,,,80000000.0,yes,no,yes,no,,,,,
12123,Chain Reaction,"Action, Drama, Science Fiction, Thriller",1996-08-02,5.3,,,50000000.0,yes,no,yes,no,,,,,
10830,Matilda,"Comedy, Family, Fantasy",1996-08-02,6.9,33460126.0,,36000000.0,yes,no,yes,no,,,,,
3573,Emma,"Drama, Comedy, Romance",1996-08-02,6.7,,,6000000.0,yes,no,yes,no,,,,,
47907,The Spitfire Grill,"Comedy, Drama",1996-08-23,6.8,,,6000000.0,yes,no,no,no,,,,,
10061,Escape from L.A.,"Action, Adventure, Science Fiction, Thriller",1996-08-09,5.6,,,50000000.0,yes,no,yes,no,,,,,
549,Basquiat,"Drama, History",1996-08-09,6.6,,,2962051.0,yes,yes,yes,no,,,,,
10478,Tin Cup,"Comedy, Drama, Romance",1996-08-16,5.9,,,45000000.0,yes,no,yes,no,,,,,
66634,Dingo,"Drama, Music",1991-06-02,6.0,,,200000.0,yes,no,no,yes,,,,,
238,The Godfather,"Drama, Crime",1972-03-14,8.5,,,6000000.0,yes,yes,yes,no,,,,,
9303,Bound,"Crime, Drama, Romance, Thriller",1996-09-13,6.9,,,4500000.0,yes,no,yes,no,,,,,
11015,The Relic,"Horror, Mystery, Thriller",1997-01-10,5.8,,,60000000.0,yes,no,yes,yes,,,,,
9306,The Island of Dr. Moreau,"Fantasy, Horror, Science Fiction",1996-08-23,4.6,,,40000000.0,yes,no,no,no,,,,,
872,Singin' in the Rain,"Comedy, Music, Romance",1952-04-10,7.9,,,2540800.0,yes,no,no,no,,,,,
