budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime(in_minutes),spoken_languages,status,title,vote_average,vote_count,multigenre,multilanguage,multicompany,multicountry
"$6,000,000.00","Romance, Comedy",2293,tt0113749,en,Mallrats,8.26,"Universal Pictures, Gramercy Pictures, Alphaville Films, View Askew Productions",United States of America,1995-10-20,"$2,122,561.00",94,English,Released,Mallrats,6.8,400,yes,no,yes,no
"$15,000,000.00","Action, Adventure, Science Fiction, Family, Fantasy",9070,tt0113820,en,Mighty Morphin Power Rangers: The Movie,7.02,"Twentieth Century Fox Film Corporation, Saban Entertainment, Toei Company","Japan, United States of America",1995-06-30,"$66,000,000.00",92,English,Released,Mighty Morphin Power Rangers: The Movie,5.2,153,yes,no,yes,yes
"$22,000,000.00","Crime, Drama, Mystery, Thriller, Action",1642,tt0113957,en,The Net,13.3,Columbia Pictures,United States of America,1995-07-28,"$110,627,965.00",114,"English, Spanish",Released,The Net,5.6,359,yes,yes,no,no
"$150,000.00",Comedy,36196,tt0114095,en,Party Girl,1.17,Party Productions,United States of America,1995-06-09,"$472,370.00",94,English,Released,Party Girl,5.8,14,no,no,no,no
"$50,000,000.00","Drama, History, Romance",10533,tt0114345,en,The Scarlet Letter,6.75,"Hollywood Pictures, Cinergi Pictures Entertainment",United States of America,1995-10-13,"$10,382,407.00",135,English,Released,The Scarlet Letter,5.5,111,yes,no,yes,no
"$45,000,000.00",Drama,10802,tt0114436,en,Showgirls,17.5,"United Artists, Le Studio Canal+, Carolco Pictures","France, United States of America",1995-09-22,"$20,350,754.00",128,English,Released,Showgirls,4.9,261,no,no,yes,yes
"$7,000,000.00","Comedy, Drama",10149,tt0114478,en,Smoke,5.55,Miramax Films,"Germany, Japan, United States of America",1995-06-09,"$8,349,430.00",112,English,Released,Smoke,7.2,115,yes,no,no,yes
"$35,000,000.00","Science Fiction, Horror, Action",9348,tt0114508,en,Species,13.49,Metro-Goldwyn-Mayer (MGM),United States of America,1995-07-07,"$113,374,103.00",108,English,Released,Species,5.5,457,yes,no,no,no
"$42,000,000.00","Crime, Drama, Science Fiction, Thriller",281,tt0114558,en,Strange Days,11.22,Lightstorm Entertainment,United States of America,1995-10-13,"$7,959,291.00",145,English,Released,Strange Days,6.8,334,yes,no,no,no
"$60,000,000.00","Action, Thriller",3512,tt0114781,en,Under Siege 2: Dark Territory,7.49,"Regency Enterprises, Warner Bros., Seagal/Nasso Productions, Victor Company of Japan (JVC), Cutting Edge Films",United States of America,1995-07-13,"$104,324,083.00",100,English,Released,Under Siege 2: Dark Territory,5.6,217,yes,no,yes,no
"$20,000,000.00","Drama, Romance",9560,tt0114887,en,A Walk in the Clouds,9.72,"Twentieth Century Fox Film Corporation, Zucker Brothers Productions",United States of America,1995-08-11,"$50,012,507.00",103,English,Released,A Walk in the Clouds,6.5,168,yes,no,yes,no
"$175,000,000.00","Adventure, Action",9804,tt0114898,en,Waterworld,16.89,"Universal Pictures, Gordon Company, Davis Entertainment, Licht/Mueller Film Corporation",United States of America,1995-07-28,"$264,218,220.00",135,"English, German, Spanish",Released,Waterworld,5.9,1017,yes,yes,yes,no
"$2,500,000.00","Drama, Romance",76,tt0112471,en,Before Sunrise,11.3,"Detour Film Production, Warner Bros.","Austria, Switzerland, United States of America",1995-01-27,"$5,535,405.00",105,"English, German, French",Released,Before Sunrise,7.7,984,yes,yes,yes,yes
"$21,000,000.00","Comedy, Drama",9382,tt0112571,en,Boys on the Side,3.03,"Regency Enterprises, Alcor Films, Canal+, New Regency Pictures, Hera Productions","France, United States of America",1995-02-03,"$23,450,000.00",115,English,Released,Boys on the Side,6.3,48,yes,no,yes,yes
"$25,000,000.00","Romance, Drama, Comedy",1909,tt0112883,en,Don Juan DeMarco,7.44,"New Line Cinema, American Zoetrope",United States of America,1994-10-01,"$22,200,000.00",97,English,Released,Don Juan DeMarco,6.3,184,yes,no,yes,no
"$55,000,000.00","Drama, Thriller, Crime, Mystery, Romance",8984,tt0109635,en,Disclosure,11.81,"Warner Bros., Baltimore Pictures",United States of America,1994-12-09,"$214,015,089.00",123,English,Released,Disclosure,5.9,217,yes,no,yes,no
"$16,000,000.00",Comedy,8467,tt0109686,en,Dumb and Dumber,9.84,"New Line Cinema, Motion Picture Corporation of America (MPCA)",United States of America,1994-12-16,"$247,275,374.00",107,English,Released,Dumb and Dumber,6.5,1894,no,no,yes,no
"$18,000,000.00","Comedy, Drama, History",522,tt0109707,en,Ed Wood,11.72,Touchstone Pictures,United States of America,1994-09-27,"$5,887,457.00",127,English,Released,Ed Wood,7.3,639,yes,no,no,no
"$15,000,000.00","Drama, Thriller",27303,tt0113303,en,Hideaway,8.18,TriStar Pictures,United States of America,1995-03-03,"$12,201,255.00",103,English,Released,Hideaway,5.0,24,yes,no,no,no
"$700,000.00",Documentary,14275,tt0110057,en,Hoop Dreams,9.48,"Fine Line Features, Kartemquin Films",United States of America,1994-09-12,"$7,830,611.00",171,English,Released,Hoop Dreams,7.7,91,no,no,yes,no
"$5,000,000.00","Drama, Fantasy",1024,tt0110005,en,Heavenly Creatures,9.44,"WingNut Films, Miramax Films, New Zealand Film Commission, Fontana Productions",New Zealand,1994-09-02,"$3,049,135.00",99,English,Released,Heavenly Creatures,6.9,299,yes,no,yes,no
"$60,000,000.00","Horror, Romance",628,tt0110148,en,Interview with the Vampire,11.97,Geffen Pictures,United States of America,1994-11-11,"$223,664,608.00",123,"English, French",Released,Interview with the Vampire,7.2,1558,yes,yes,no,no
"$14,000,000.00","Drama, Romance",87729,tt0113463,en,Jefferson in Paris,1.6,"Merchant Ivory Productions, Touchstone Pictures",United States of America,1995-03-31,"$2,474,000.00",139,English,Released,Jefferson in Paris,5.2,10,yes,no,yes,no
"$60,000,000.00","Comedy, Family, Romance",6280,tt0110216,en,Junior,6.71,"Universal Pictures, Northern Lights Entertainment",United States of America,1994-11-22,"$37,000,000.00",109,English,Released,Junior,4.7,381,yes,no,yes,no
"$11,000,000.00","Adventure, Action, Science Fiction",11,tt0076759,en,Star Wars,42.15,"Lucasfilm, Twentieth Century Fox Film Corporation",United States of America,1977-05-25,"$775,398,007.00",121,English,Released,Star Wars,8.1,6778,yes,no,yes,no
"$30,000,000.00","Adventure, Drama, Romance, War",4476,tt0110322,en,Legends of the Fall,12.2,"Bedford Falls Productions, TriStar Pictures, Pangaea",United States of America,1994-12-16,"$160,638,883.00",133,"Cornish, English",Released,Legends of the Fall,7.2,636,yes,yes,yes,no
"$17,000,000.00",Drama,28313,tt0113691,en,Losing Isaiah,7.7,Paramount Pictures,United States of America,1995-03-17,"$7,603,766.00",106,English,Released,Losing Isaiah,6.4,28,no,no,no,no
"$31,000,000.00","Drama, Thriller",1945,tt0110638,en,Nell,5.93,"Twentieth Century Fox Film Corporation, Egg Pictures, PolyGram Filmed Entertainment",United States of America,1994-12-23,"$106,683,817.00",112,English,Released,Nell,6.1,128,yes,no,yes,no
"$34,000,000.00","Crime, Thriller, Drama",241,tt0110632,en,Natural Born Killers,11.23,"Regency Enterprises, Alcor Films, Ixtlan, Warner Bros., New Regency Pictures, J D Productions",United States of America,1994-08-25,"$50,282,766.00",119,"English, Navajo, Japanese",Released,Natural Born Killers,6.9,927,yes,yes,yes,no
"$50,000,000.00","Action, Drama, Science Fiction, Thriller",6950,tt0114069,en,Outbreak,13.68,"Kopelson Entertainment, Punch Productions, Warner Bros., Arnold Kopelson Productions",United States of America,1995-03-10,"$189,859,560.00",127,"English, Korean, French",Released,Outbreak,6.4,522,yes,yes,yes,no
"$11,000,000.00","Comedy, Drama, Romance",63020,tt0114113,en,The Perez Family,1.43,"Samuel Goldwyn Company, The",United States of America,1995-05-12,"$2,832,826.00",113,English,Released,The Perez Family,6.6,9,yes,no,no,no
"$8,000,000.00","Thriller, Crime",680,tt0110912,en,Pulp Fiction,140.95,"Miramax Films, A Band Apart, Jersey Films",United States of America,1994-09-10,"$213,928,762.00",154,"English, Spanish, French",Released,Pulp Fiction,8.3,8670,yes,yes,yes,no
"$400,000.00","Comedy, Drama",25296,tt0105652,zh,Pushing Hands,1.64,Ang Lee Productions,Taiwan,1992-02-01,"$152,322.00",105,"English, Chinese",Released,Pushing Hands,6.1,9,yes,yes,no,no
"$32,000,000.00","Action, Western",12106,tt0114214,en,The Quick and the Dead,7.55,TriStar Pictures,"Japan, United States of America",1995-02-09,"$18,552,460.00",107,English,Released,The Quick and the Dead,6.2,431,yes,no,no,yes
"$22,000,000.00","Drama, Comedy",161495,tt0114296,sv,Roommates,3.4,"Hollywood Pictures, Interscope Communications, Nomura Babcock & Brown",United States of America,1995-03-01,"$12,400,000.00",108,English,Released,Roommates,6.4,7,yes,no,yes,no
"$45,000,000.00","Action, Thriller",2636,tt0111255,en,The Specialist,10.39,"Jerry Weintraub Productions, Warner Bros., Iguana Producciones","Peru, United States of America",1994-10-07,"$170,362,582.00",110,English,Released,The Specialist,5.5,317,yes,no,yes,yes
"$55,000,000.00","Action, Adventure, Science Fiction",2164,tt0111282,en,Stargate,13.33,"Centropolis Entertainment, StudioCanal, Carolco Entertainment","France, United States of America",1994-10-27,"$196,567,262.00",121,"English, Norwegian, Swedish",Released,Stargate,6.8,942,yes,yes,yes,yes
"$22,000,000.00","Fantasy, Drama, Comedy, Family",11395,tt0111070,en,The Santa Clause,9.67,"Walt Disney Pictures, Hollywood Pictures",United States of America,1994-11-10,"$189,833,357.00",97,English,Released,The Santa Clause,6.3,501,yes,no,yes,no
"$25,000,000.00","Drama, Crime",278,tt0111161,en,The Shawshank Redemption,51.65,"Castle Rock Entertainment, Warner Bros.",United States of America,1994-09-23,"$28,341,469.00",142,English,Released,The Shawshank Redemption,8.5,8358,yes,no,yes,no
"$25,000,000.00","Action, Comedy, Fantasy, Science Fiction",9067,tt0114614,en,Tank Girl,7.6,Trilogy Entertainment Group,United States of America,1995-03-31,"$4,064,495.00",98,English,Released,Tank Girl,5.5,140,yes,no,no,no
"$38,000,000.00","Science Fiction, Action, Adventure, Thriller",193,tt0111280,en,Star Trek: Generations,8.11,Paramount Pictures,United States of America,1994-11-17,"$120,000,000.00",118,English,Released,Star Trek: Generations,6.4,461,yes,no,no,no
"$6,000,000.00","Crime, Horror, Thriller",25066,tt0114609,en,Tales from the Hood,2.86,"40 Acres & A Mule Filmworks, Savoy Pictures",United States of America,1995-05-24,"$12,000,000.00",98,English,Released,Tales from the Hood,5.4,33,yes,no,yes,no
"$11,000,000.00","Romance, Drama",1587,tt0108550,en,What's Eating Gilbert Grape,10.39,Paramount Pictures,United States of America,1993-12-17,"$10,032,765.00",118,English,Released,What's Eating Gilbert Grape,7.5,943,yes,no,no,no
"$30,000,000.00","Action, Crime, Science Fiction, Thriller",9271,tt0114857,en,Virtuosity,5.19,Paramount Pictures,United States of America,1995-08-04,"$24,048,000.00",106,English,Released,Virtuosity,5.4,163,yes,no,no,no
"$17,000,000.00","Comedy, Drama, Romance",2064,tt0114924,en,While You Were Sleeping,15.78,"Caravan Pictures, Hollywood Pictures",United States of America,1995-04-21,"$182,057,016.00",103,English,Released,While You Were Sleeping,6.5,340,yes,no,yes,no
"$3,000,000.00","Drama, Comedy, Romance",236,tt0110598,en,Muriel's Wedding,5.25,"Ciby 2000, Film Victoria, House & Moorhouse Films","Australia, France",1994-09-29,"$15,119,639.00",106,English,Released,Muriel's Wedding,6.9,104,yes,no,yes,yes
"$5,000,000.00","Thriller, Drama, Romance",10497,tt0104779,en,Bitter Moon,11.3,"Fine Line Features, R.P. Productions, Columbia Pictures Corporation, Les Films Alain Sarde, Canal+, Timothy Burrill Productions","France, United Kingdom, United States of America",1992-09-02,"$1,862,805.00",139,"French, English",Released,Bitter Moon,7.0,115,yes,yes,yes,yes
"$62,000,000.00","Action, Drama, Thriller",9331,tt0109444,en,Clear and Present Danger,7.51,"Paramount Pictures, Mace Neufeld Productions",United States of America,1994-08-03,"$215,887,717.00",141,English,Released,Clear and Present Danger,6.4,390,yes,no,yes,no
"$45,000,000.00","Drama, Thriller, Crime, Mystery",10731,tt0109446,en,The Client,15.26,"Regency Enterprises, Alcor Films, Warner Bros.",United States of America,1994-07-20,"$117,615,211.00",119,English,Released,The Client,6.4,287,yes,no,yes,no
"$15,000,000.00","Fantasy, Action, Thriller",9495,tt0109506,en,The Crow,15.8,"Miramax Films, Crowvision Inc., Entertainment Media Investment Corporation, Jeff Most Productions, Edward R. Pressman Film",United States of America,1994-05-11,"$94,000,000.00",102,English,Released,The Crow,7.3,980,yes,no,yes,no
